   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.022    0.022 cparser.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _internal.py:6(<module>)
       72    0.003    0.000    0.021    0.000 inline_closurecall.py:915(_inline_const_arraycall)
    29349    0.021    0.000    0.021    0.000 instructions.py:89(callee)
      147    0.001    0.000    0.021    0.000 cgutils.py:148(__getattr__)
    30696    0.021    0.000    0.021    0.000 values.py:220(_get_name)
4826/4817    0.010    0.000    0.021    0.000 values.py:127(_get_reference)
      291    0.002    0.000    0.021    0.000 typeof.py:194(_typeof_ndarray)
      243    0.001    0.000    0.021    0.000 base.py:307(install_registry)
      397    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
