   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      347    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       20    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
      109    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:87(__init__)
        1    0.000    0.000    0.000    0.000 random.py:96(seed)
       61    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
       40    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f0365f20e18}
      364    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 layers.py:3(<module>)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        8    0.000    0.000    0.000    0.000 core.py:8028(__init__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
      308    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       61    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
       40    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty_like}
      313    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      185    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       13    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       98    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
       30    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
      277    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 core.py:6264(__new__)
        1    0.000    0.000    0.000    0.000 numeric.py:2889(<listcomp>)
        8    0.000    0.000    0.000    0.000 core.py:8033(getdoc)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:128(english_lower)
        6    0.000    0.000    0.000    0.000 {built-in method io.open}
      164    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      163    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
       84    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
        6    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
